polymer,smiles,n_variants,pred_canonical,mean_pred,std_pred,std_pred_graph_only,max_dev,viol_rate_0_5sigma,viol_rate_1sigma,viol_rate_2sigma
0,*CCNc1ccc(*)cc1,30,0.908594463686869,1.026644473965222,0.09802117757858415,3.2304755674646886e-16,0.31080879437583264,0.0,0.0,0.0
1,*CNC(=O)NCOCO*,30,1.0026166753526262,1.0508569684969407,0.08223751155455038,5.73316704659901e-17,0.28136315072725604,0.0,0.0,0.0
2,*COC(=S)O*,24,2.3031284176560924,2.4545935506482928,0.20878743587999232,0.0,0.5585892933378118,0.041666666666666664,0.0,0.0
3,*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,30,3.914988394617601,3.6813175523747694,0.1030700256618421,1.3711741285397506e-15,0.4484954356202122,0.0,0.0,0.0
4,*C(F)C(*)(F)F,30,1.547772069615174,1.645316297502299,0.04857214547589546,6.661338147750939e-16,0.1940255262630708,0.0,0.0,0.0
5,*NC(=O)C(=S)c1ccc(*)cc1,30,3.618367086111564,3.3447636505605383,0.26120692862754036,9.729507111180987e-16,0.7100735106451017,0.06666666666666667,0.0,0.0
6,*CCOC(=S)NC(=S)c1ccc(N*)cc1,30,3.137602598190722,3.066032719427004,0.19422503236683678,8.881784197001252e-16,0.535542132879383,0.0,0.0,0.0
7,*Cc1ccc(C(=O)O*)cc1,30,2.1696988678236737,1.9025692333321589,0.16150709032407137,4.440892098500626e-16,0.4292298975803708,0.0,0.0,0.0
8,*CNCCNC(=O)OC*,30,0.8774095530732304,0.9436027702296188,0.09549814348023315,2.579925170969555e-16,0.24441362975359704,0.0,0.0,0.0
9,*CCc1ccc(O*)s1,30,0.7663644195278261,0.9878606040879201,0.09408690344708424,3.580361673049448e-16,0.5626592437170599,0.03333333333333333,0.0,0.0
10,*CNCC(*)=S,24,2.6379208708608255,2.594640488224061,0.1704193556061074,0.0,0.4797240737090762,0.0,0.0,0.0
11,*Cc1ccc(CO*)cc1,30,1.1626764864083095,1.122372679276526,0.06885438865602883,2.749530325049722e-16,0.2288617240313746,0.0,0.0,0.0
12,*Oc1ccc(Cc2ccc(*)cc2)cc1,30,1.2324369737734435,1.3369458890841168,0.11026688810123057,2.220446049250313e-16,0.4346454370091668,0.0,0.0,0.0
13,*CC(=S)C(=O)O*,30,3.8706691311508896,3.2488353405037946,0.32808279306424226,0.0,1.123769347010739,0.7,0.03333333333333333,0.0
14,*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,30,3.9946412076629496,3.4295373439698618,0.2471703349479721,4.440892098500626e-16,0.9579148099612631,0.5,0.0,0.0
