smiles,pred_original,y_target,pred_after_cf,top_feature,top_delta,feature_deltas
*Nc1ccc(cc1)C(c1ccc(cc1)NC(=O)c1cc(cc(c1)NC(=O)CCCN1C(=O)c2c(C1=O)cccc2)C(=O)*)(C(F)(F)F)C(F)(F)F,238.3663486983187,258.3663486983187,241.40066163869778,Chi1v,-353.3383303719363,Chi1v:-353.338;HeavyAtomMolWt:-1.582;MolWt:-1.532;ExactMolWt:-1.396;BCUT2D_CHGHI:-1.147
*N1C(=O)c2c(C1=O)cc(cc2)Oc1c(cccc1)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)*)cc1,209.95466520855643,229.95466520855643,212.34487462858579,Chi1v,1062.0284658933651,Chi1v:1062.028;BCUT2D_CHGHI:1.672;MolWt:-0.386;HeavyAtomMolWt:-0.304;ExactMolWt:-0.276
*NC(=O)CCP(=O)(CCC(=O)NCCCCCCCCCC*)C,47.22125027988295,67.22125027988295,52.811609338387825,Chi1v,1463.6901909266505,Chi1v:1463.690;BCUT2D_CHGHI:1.069;SMR_VSA9:-0.462;ExactMolWt:-0.397;MolWt:-0.363
*N1C(=O)c2c(C1=O)cc(cc2)Oc1c(cccc1)Oc1cc2c(C(=O)N(C2=O)c2cc(c(cc2)Oc2c(cccc2)Oc2c(cc(cc2)*)C(F)(F)F)C(F)(F)F)cc1,177.91525762755873,197.91525762755873,179.11494561689278,Chi1v,228.76782505523508,Chi1v:228.768;BCUT2D_CHGHI:2.832;PEOE_VSA7:-0.215;ExactMolWt:-0.214;HeavyAtomMolWt:0.209
*C(C*)C(=O)OCCCCSC,-72.34610539398818,-52.34610539398818,-68.08660712882738,Chi1v,2584.771752598605,Chi1v:2584.772;BCUT2D_CHGHI:3.454;MolWt:1.597;ExactMolWt:1.153;HeavyAtomMolWt:0.685
*c1cc2c(C(=O)N(C2=O)c2c(ccc(c2)C(=O)Oc2ccc(cc2)C(c2ccc(cc2)OC(=O)c2cc(c(cc2)C)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)C)cc1,276.16523184360085,296.16523184360085,278.68607447589056,Chi1v,-134.53190684776882,Chi1v:-134.532;MolWt:-1.162;ExactMolWt:-1.015;HeavyAtomMolWt:-0.929;BCUT2D_CHGHI:0.824
*OC(=O)CCCCCCCCC(=O)OCC*,-41.80430220863673,-21.804302208636727,-35.879831839407416,Chi1v,1887.5266316022326,Chi1v:1887.527;BCUT2D_CHGHI:3.336;MolWt:1.348;ExactMolWt:1.088;HeavyAtomMolWt:0.426
*C(CCCCC*)C,-59.929605150366115,-39.929605150366115,-54.316017642204315,Chi1v,1918.0466703357163,Chi1v:1918.047;BCUT2D_CHGHI:2.919;MolWt:1.291;ExactMolWt:0.965;HeavyAtomMolWt:0.571
*Oc1ccc(cc1)C(=O)OCCOCCOCCOCCOC(=O)c1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)*,19.398261388996616,39.398261388996616,25.523641920050068,Chi1v,2100.31912388291,Chi1v:2100.319;BCUT2D_CHGHI:4.471;ExactMolWt:1.085;MolWt:1.053;HeavyAtomMolWt:0.911
*C(C*)(C(=O)OCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)OCCCC)C,99.95945263712383,119.95945263712383,103.07608907540543,Chi1v,111.50941235176427,Chi1v:111.509;SMR_VSA9:-0.448;PEOE_VSA7:-0.328;SlogP_VSA9:-0.294;HeavyAtomMolWt:-0.274
*N=Nc1ccc(cc1)NC(=O)CCC(=O)Nc1ccc(cc1)*,218.74896404999527,238.74896404999527,225.1203789155761,Chi1v,1172.3721823212811,Chi1v:1172.372;MolWt:-1.411;ExactMolWt:-0.899;BCUT2D_CHGHI:0.860;HeavyAtomMolWt:-0.672
*C(C*)(C(=O)OCC(Oc1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C#N)C)C,137.5029122263793,157.5029122263793,152.4078137736193,Chi1v,-1368.2355906169792,Chi1v:-1368.236;MolWt:-1.952;ExactMolWt:-1.599;HeavyAtomMolWt:-1.356;PEOE_VSA7:-0.805
*c1nc2c(cc1)cc(cc2)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)C(=O)*,146.16262823085705,166.16262823085705,155.99287761110475,Chi1v,2060.8444210071366,Chi1v:2060.844;BCUT2D_CHGHI:2.944;PEOE_VSA7:-0.673;ExactMolWt:-0.652;SMR_VSA9:-0.649
*N=P(*)(OCCCCC)OCCC,-98.7441950016655,-78.7441950016655,-96.53688768145366,Chi1v,1473.1747168525073,Chi1v:1473.175;BCUT2D_CHGHI:3.612;MolWt:1.222;ExactMolWt:1.021;HeavyAtomMolWt:0.617
