smiles,max_tanimoto_morgan,max_tanimoto_maccs
*CCCCCCCCc1nc2cc3sc(*)nc3cc2s1,1.0,1.0
*c1cc(CCCCCCCCC)c(*)s1,1.0,1.0
*c1c(nc2c(c1c1ccccc1)cc(cc2)Oc1cc2c(nc(c(c2c2ccccc2)c2ccc(cc2)c2ccc(cc2)*)c2ccccc2)cc1)c1ccccc1,0.9285714285714286,1.0
*O[Si](O[Si](O[Si](CCC(C(C(C(C(C(CC[Si](*)(CCC(F)(F)F)C)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(CCC(F)(F)F)C)(CCC(F)(F)F)C)(CCC(F)(F)F)C,0.6363636363636364,0.8205128205128205
*CC(O)COc1ccc(S(=O)(=O)c2ccc(O*)c(C)c2)cc1C,1.0,1.0
*CC1CCC(COC(=O)CCCCCCCC(=O)O*)CC1,1.0,1.0
*C(=O)N(*)CCCCCCCCC=C,0.44,0.6333333333333333
*OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)OCC(C*)(CC)C,0.7837837837837838,0.9642857142857143
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(=O)N(C2=O)CCCCCCOC(=O)c2cc(cc(c2)OCCCCCCOc2ccc(cc2)N=Nc2ccc(cc2)C#N)C(=O)OCCCCCC*)cc1,0.8904109589041096,0.984375
*N=P(*)(Oc1ccc(cc1)c1ccccc1)Oc1ccc(cc1)c1ccccc1,0.5384615384615384,0.9032258064516129
*C1COC2C1OCC2OC(=O)c1cc(ccc1)OCCCCCCCCCCOc1cc(ccc1)C(=O)O*,1.0,1.0
*O[Si](*)(CCCCCCCCCCCn1c2ccccc2c2ccccc12)C,1.0,1.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2c(cccc2)c2c(cccc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,0.8604651162790697,1.0
*c1c(cc(cc1)*)C(=O)c1ccccc1,0.7368421052631579,0.8888888888888888
*CNc1ccc(O*)s1,1.0,1.0
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)S(=O)(=O)c2cc(ccc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,0.7692307692307693,0.9811320754716981
*Cc1ccc(OC(*)=S)s1,0.5714285714285714,0.8823529411764706
*Oc1c(cc(cc1C)c1cc(c(c(c1)C)OC(=O)CCCCCC(=O)*)C)C,1.0,1.0
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,1.0,1.0
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)cc1,1.0,1.0
*C(C*)OCCCCCC,1.0,1.0
*Oc1ccc(cc1)CC(NC(=O)CCc1ccc(cc1)OC(=O)CCCCC(=O)*)C(=O)OC(C)C,0.9821428571428571,1.0
*CC(*)c1cc(Cl)ccc1Cl,1.0,1.0
*C(=O)C(C=C1)=CC=C1C(=O)C(=S)*,1.0,1.0
*C(C*)(C(=O)OCc1ccc2n(c3c(c2c1)cccc3)CCCCCCCCCCCCCC)C,1.0,1.0
*c1oc(nn1)c1ccc(cc1)C(=O)OCCCCCCCCCCOc1ccc(cc1)C=C1C(=O)C(=Cc2ccc(cc2)OCCCCCCCCCCOC(=O)c2ccc(cc2)*)CCCC1,1.0,1.0
*Cc1ccc(C*)cc1,1.0,1.0
*Oc1ccc(cc1)C1(CCCC1)c1ccc(cc1)OC(=O)*,0.967741935483871,0.92
*Oc1ccc(cc1)CC(NC(=O)CCc1ccc(cc1)OC(=O)CCCCCCC(=O)*)C(=O)OCC(C)C,1.0,1.0
*NC(=O)C(S1)=CC=C1C(=O)*,1.0,1.0
*OC(*)C,1.0,1.0
*N(CC*)C(=O)CC,1.0,1.0
*C(C*)(C(=O)OCCCCCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)C#N)C,1.0,1.0
*Sc1ccc(*)cc1,1.0,1.0
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,1.0,1.0
*C(F)(F)C(F)(F)CC(=O)*,1.0,1.0
*Oc1cc2c(C(CC32CC(c2ccc(cc32)OC(=O)c2cc(ccc2)C(=O)*)(C)C)(C)C)cc1,0.7884615384615384,1.0
*N1C(=O)C(CC1=O)Nc1ccc(cc1)Cc1ccc(cc1)NC1C(=O)N(C(=O)C1)c1c(cc(cc1C)C(c1cc(c(c(c1)C)*)C)c1cnccc1)C,0.6781609195402298,0.9137931034482759
*c1nc(nc(c1c1ccc(cc1)OC)OCCOC(=O)CCCC(=O)OCCO*)c1ccc(cc1)OC,0.8846153846153846,0.9454545454545454
*C(C*)(C(=O)Oc1ccc(cc1)C(=O)C=Cc1ccc(cc1)Cl)C,0.6595744680851063,0.8
*OC(=O)C(C(=O)OCCOCC*)CCCCCCCCC,1.0,1.0
*C(=O)C(=S)OC(=S)*,1.0,1.0
*CNC(=O)CC(=O)N*,0.5909090909090909,0.7
*CCCCCc1ccc(CCCCCOC(=O)c2ccc(C(=O)O*)cc2)cc1,0.8285714285714286,0.9655172413793104
*Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)CCCCCCCC(=O)*,0.8648648648648649,0.9354838709677419
*c1sc(nn1)c1cc(ccc1)OC(=O)CCCCCCCCC(=O)Oc1cc(ccc1)C=C*,0.8653846153846154,1.0
*c1cc(C(c2ccc(O)c(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,0.5918367346938775,0.9607843137254902
*N=P(*)(OCCOCCOCCOC)OCCOCCOCCOC,0.8421052631578947,0.975
*c1ccc(*)c(CCCCCC)n1,0.5714285714285714,0.7407407407407407
*c1ccc(C(F)(F)C(=O)C(*)(F)F)s1,1.0,1.0
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2cc(ccc2)C(=O)Nc2cc(ccc2)S(=O)(=O)c2cc(ccc2)NC(=O)c2cc(ccc2)*)cc1,0.8813559322033898,1.0
*C(=O)OCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,1.0,1.0
*c1ccc2nc3c4cccc5c6nc7ccc(*)cc7nc6c6cccc(c3nc2c1)c6c45,0.3870967741935484,1.0
*C(C*)Cc1c(cccc1)C,0.48148148148148145,0.7857142857142857
*c1ccc(-c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(C)c2)cc1C,1.0,1.0
*c1ccc(CC(F)(F)C(*)(F)F)s1,1.0,1.0
*CCCCNC(=O)C(OC)C(OC)C(=O)N*,0.9032258064516129,0.9487179487179487
*Oc1ccc(cc1)c1ccc(cc1)OC(=O)c1c(cc(cc1)c1ccc(cc1)C(=O)*)c1ccccc1,1.0,1.0
*N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)C1(CCC(CC1)c1ccccc1)c1ccc(cc1)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2cc(c(cc2)c2c(cc(cc2)Oc2ccc(cc2)*)C)C)cc1,0.8181818181818182,1.0
*CCCCOC(=O)CCC(C)CC(=O)O*,0.8787878787878788,1.0
*Nc1ccc(-c2ccc(C(*)=S)cc2)s1,1.0,1.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Sc2ccc(cc2)Oc2ccc(cc2)Sc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)Nc2ccc(cc2)Oc2cc(ccc2)Oc2ccc(cc2)NC(=O)*)cc1,0.9310344827586207,1.0
*OC(C)CCOC(=O)CCCCCCCCC(*)=O,1.0,1.0
*NC(=O)C(S1)=CC=C1C(=S)*,1.0,1.0
*C=Cc1cc([Si](C)(C)C)c(*)cc1[Si](C)(C)C,0.46875,0.8823529411764706
*O[Si](C)(Oc1ccc(*)cc1)c1ccccc1,0.6774193548387096,0.8518518518518519
*CCNc1ccc(*)s1,1.0,1.0
*Nc1ccc(cc1)C(c1ccc(cc1)C(c1ccc(cc1)Nc1ccc(cc1)C(c1ccc(cc1)C(c1ccc(cc1)*)(c1ccccc1)O)(c1ccccc1)O)(C)C)(C)C,0.4117647058823529,0.7096774193548387
*C1=C(C(=O)N(C1=O)CCCCCCCC)c1ccc(cc1)c1cc2C(c3c(c2cc1)ccc(c3)c1ccc(cc1)*)(CCCCCC)CCCCCC,0.96,1.0
*CC(=S)CC(*)=S,1.0,1.0
*c1cc(CCCCBr)c(*)s1,0.9583333333333334,0.9333333333333333
*c1ccc(-c2ccc(-c3ccc(*)s3)s2)[nH]1,0.5151515151515151,0.8333333333333334
*Oc1ccc(cc1)CC(NC(=O)Cc1ccc(cc1)OC(=O)COCCOCC(=O)*)C(=O)OCCCCCCCC,0.8615384615384616,0.9791666666666666
*c1c2c(C(=O)N(C2=O)N2C(=O)c3c(C2=O)c(ccc3)Sc2ccc(cc2)Sc2ccc(cc2)S*)ccc1,0.65,1.0
*Nc1cc(ccc1)NC(=O)CCCCC(=O)Nc1cc(ccc1)NC(=S)NC(=O)CCCCC(=O)NC(=S)*,0.8235294117647058,1.0
*CC(*)O,1.0,1.0
*CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*,1.0,1.0
*Oc1ccc(cc1)SC(=O)Sc1ccc(cc1)*,0.6,0.8421052631578947
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)Cc2ccc(cc2)Cc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,0.95,1.0
*c1cccc(-c2nnc(*)n2-c2ccccc2)c1,0.7272727272727273,0.96875
*Oc1ccc(cc1)CC(NC(=O)CCc1ccc(cc1)OC(=O)CC(CCC(=O)*)C)C(=O)OCCCC,0.8181818181818182,0.9777777777777777
*CCCCCCCCc1nnc(-c2cccc(-c3nnc(*)o3)c2)o1,0.8095238095238095,1.0
*N(C(=O)c1c(cc(cc1)C(=O)*)Sc1ccccc1)c1ccccc1,0.5227272727272727,0.75
*OC(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C(=O)OCCCCCCCCCC*,1.0,1.0
*C(CCC*)(CC)C,0.5714285714285714,0.9090909090909091
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,1.0,1.0
*C(C*)(C(=O)OCCCCCCCCCCn1c2ccc(cc2c2ccccc12)N=Nc1c(cc(cc1)[N+](=O)[O-])[N+](=O)[O-])C,0.828125,0.9206349206349206
*c1cc2c(C(=O)N(C2=O)c2c(cccc2)C(=O)OCCOC(=O)*)cc1,0.6521739130434783,0.9787234042553191
*CCCCCCCC(=O)N*,1.0,1.0
*CC(*)N1CCCC1=O,1.0,1.0
*NC(=O)CCCCCCCCC(=O)NCCCCCC*,1.0,1.0
*N=P(*)(Cl)Cl,1.0,1.0
*OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)OCCCCCCCCCCCC*,1.0,1.0
*C(=O)NC(=O)CNC(=O)ON*,1.0,1.0
*Nc1ccc(C(=O)C(*)=S)s1,1.0,1.0
*c1cc(-c2ccccc2)c(*)[nH]1,0.47368421052631576,0.75
*OC1C(CO)OC(*)C(O)C1O,1.0,1.0
*N1C(=O)C(CC1=O)Nc1ccc(cc1)Cc1ccc(cc1)NC1C(=O)N(C(=O)C1)c1ccc(cc1)Oc1c(cc(cc1C)C(c1cc(c(c(c1)C)Oc1ccc(cc1)*)C)c1cnccc1)C,0.92,0.9827586206896551
