-	00_setup	completed	OK	1
-	01_proxy_models	completed	OK	380
-	02_shap_global	completed	OK	41
-	03_shap_local	completed	OK	47
-	04_fidelity	completed	OK	52
-	05_explanation_agreement	completed	OK	39
-	06_physics_decomp	completed	OK	3
-	07_smiles_invariance	failed	NA	327
-	08_attribution_invariance	completed	OK	28
-	09_oligomer_invariance	completed	OK	4
-	10_cv_validation	completed	OK	225
-	11_conformal	completed	OK	1
-	12_uncertainty_vs_error	completed	OK	1
-	13_applicability_domain	completed	OK	7
-	00_setup	completed	OK	3
-	00_setup	completed	OK	1
-	01_proxy_models	completed	OK	310
-	02_shap_global	completed	OK	54
-	03_shap_local	completed	OK	69
-	04_fidelity	completed	OK	69
-	05_explanation_agreement	completed	OK	54
-	06_physics_decomp	completed	OK	4
-	07_smiles_invariance	failed	NA	397
-	08_attribution_invariance	completed	OK	31
-	09_oligomer_invariance	completed	OK	4
-	10_cv_validation	completed	OK	184
-	11_conformal	completed	OK	1
-	12_uncertainty_vs_error	completed	OK	1
-	13_applicability_domain	completed	OK	8
-	14_seed_stability	completed	OK	757
-	15_generalization_ladder	completed	OK	161
-	16_khazana_verification	completed	OK	1
-	17_tail_performance	completed	OK	1
-	18_scorecard	completed	OK	1
-	A1_train_mlp	completed	OK	241
-	A2_linear_probes	failed	NA	1
-	A3_activation_patching	failed	NA	2
-	A4_causal_tracing	failed	NA	1
-	A5_attribution_patching	failed	NA	2
-	B1_counterfactuals	failed	NA	1
-	B2_structural_counterfactuals	completed	OK	4
-	C1_bigsmiles_invariance	failed	NA	1
-	C2_stereo_invariance	completed	OK	4
-	C3_consistency_reg	failed	NA	2
-	D1_ensemble_vs_conformal	failed	NA	1
-	D2_shift_aware_conformal	completed	OK	9
-	D3_reliability_tiers	completed	OK	162
-	E1_physics_violations	completed	OK	77
-	E2_physics_decomp_comparison	completed	OK	2
-	F1_proxy_sweep	completed	OK	1090
-	F2_feature_ablation	completed	OK	198
-	F3_oracle_sweep	completed	OK	178
-	G1_html_report	completed	OK	1
